idx,category,year,title,authors,venue,doi,url,pdf_url,pdf_path,pages,pdf_status,cited_by_count,relevance
14,kv_cache_compression,2025,SQUEEZEATTENTION: 2D MANAGEMENT OF KV-CACHE IN LLM INFERENCE VIA LAYER-WISE OPTIMAL BUDGET,"Wang Z., Cui B., Gan S.",13th International Conference on Learning Representations Iclr 2025,,https://www.scopus.com/pages/publications/105010211828?origin=resultslist,,pdfs/014_2025_squeezeattention-2d-management-of-kv-cache-in-llm-inference-via-layer.pdf,14,ok,2,161
15,kv_cache_compression,2024,KIVI: A Tuning-Free Asymmetric 2bit Quantization for KV Cache,"Liu Z., Yuan J., Jin H., ... Chen B., Hu X.","Proceedings of Machine Learning Research, 235",,https://www.scopus.com/pages/publications/85203818076?origin=resultslist,,pdfs/015_2024_kivi-a-tuning-free-asymmetric-2bit-quantization-for-kv-cache.pdf,15,ok,31,154
16,kv_cache_compression,2024,ZipCache: Accurate and Efficient KV Cache Quantization with Salient Token Identification,"He Y., Zhang L., Wu W., ... Zhou H., Zhuang B.","Advances in Neural Information Processing Systems, 37",,https://www.scopus.com/pages/publications/105000501662?origin=resultslist,,pdfs/016_2024_zipcache-accurate-and-efficient-kv-cache-quantization-with-salient-tok.pdf,15,ok,16,153
17,kv_cache_compression,2025,NOT ALL HEADS MATTER: A HEAD-LEVEL KV CACHE COMPRESSION METHOD WITH INTEGRATED RETRIEVAL AND REASONING,"Fu Y., Cai Z., Asi A., ... Dong Y., Xiao W.",13th International Conference on Learning Representations Iclr 2025,,https://www.scopus.com/pages/publications/105010230270?origin=resultslist,,pdfs/017_2025_not-all-heads-matter-a-head-level-kv-cache-compression-method-with-int.pdf,22,ok,2,153
18,kv_cache_compression,2025,AsymKV: Enabling 1-Bit Quantization of KV Cache with Layer-Wise Asymmetric Quantization Configurations,"Tao Q., Yu W., Zhou J.",Proceedings International Conference on Computational Linguistics Coling,,https://www.scopus.com/pages/publications/85218493198?origin=resultslist,,pdfs/018_2025_asymkv-enabling-1-bit-quantization-of-kv-cache-with-layer-wise-asymmet.pdf,12,ok,2,153
19,kv_cache_compression,,Expected Attention: On the KV Cache Compression for Long Context LLM Inference,,,,,,pdfs/019_na_expected-attention-on-the-kv-cache-compression-for-long-context-llm-in.pdf,19,ok,0,148
20,kv_cache_compression,2025,THINK: THINNER KEY CACHE BY QUERY-DRIVEN PRUNING,"Xu Y., Jie Z., Dong H., ... Xiong C., Sahoo D.",13th International Conference on Learning Representations Iclr 2025,,https://www.scopus.com/pages/publications/105010184838?origin=resultslist,,pdfs/020_2025_think-thinner-key-cache-by-query-driven-pruning.pdf,19,ok,5,145
21,kv_cache_compression,2025,SCBENCH: A KV CACHE-CENTRIC ANALYSIS OF LONG-CONTEXT METHODS,"Li Y., Jiang H., Wu Q., ... Yang Y., Qiu L.",13th International Conference on Learning Representations Iclr 2025,,https://www.scopus.com/pages/publications/105010213868?origin=resultslist,,pdfs/021_2025_scbench-a-kv-cache-centric-analysis-of-long-context-methods.pdf,31,ok,2,145
22,kv_cache_compression,,CONF-KV: Uncertainty-Guided Compression for Conformal KV Cache in Long-Context LLMs,,,,,,pdfs/022_na_conf-kv-uncertainty-guided-compression-for-conformal-kv-cache-in-long.pdf,20,ok,0,140
23,kv_cache_compression,,The Model Tells You What to Discard: Adaptive KV Cache Compression for LLMs,,,,,,pdfs/023_na_the-model-tells-you-what-to-discard-adaptive-kv-cache-compression-for.pdf,14,ok,0,124
24,kv_cache_compression,,The Pitfalls of KV Cache Compression in Evaluating Long-Context Ability of LLMs,,,,,,pdfs/024_na_the-pitfalls-of-kv-cache-compression-in-evaluating-long-context-abilit.pdf,24,ok,0,124
25,kv_cache_compression,2025,Oaken: Fast and Efficient LLM Serving with Online-Offline Hybrid KV Cache Quantization,"Kim M., Hong S., Ko R.W., ... Kim J.-Y., Park J.",Proceedings International Symposium on Computer Architecture,,https://www.scopus.com/pages/publications/105009602919?origin=resultslist,https://arxiv.org/pdf/2503.18599,pdfs/025_2025_oaken-fast-and-efficient-llm-serving-with-online-offline-hybrid-kv-cac.pdf,16,ok,7,121
26,kv_cache_compression,,SnapKV: LLM Knows What You are Looking for Before Generation,,,,,,pdfs/026_na_snapkv-llm-knows-what-you-are-looking-for-before-generation.pdf,17,ok,0,108
27,kv_cache_compression,,Palu: Compressing KV-Cache with Low-Rank Projection,,,,,,pdfs/027_na_palu-compressing-kv-cache-with-low-rank-projection.pdf,23,ok,0,100
28,kv_cache_compression,2026,SeKV: Resolution-Adaptive KV Cache with Hierarchical Semantic Memory for Long-Context LLM Inference,Amirhossein Abaskohi; Giuseppe Carenini; Peter West; Yuhang He,arXiv,,http://arxiv.org/abs/2606.31145v1,https://arxiv.org/pdf/2606.31145,pdfs/028_2026_sekv-resolution-adaptive-kv-cache-with-hierarchical-semantic-memory-fo.pdf,18,ok,0,96
29,kv_cache_compression,2026,DepthWeave-KV: Token-Adaptive Cross-Layer Residual Factorization for Long-Context KV Cache Compression,Anna Cordoba; Adam Puente Tercero; Nerea Angulo Hijo; Mar Linares Tercero; Julia Barrientos; Ainhoa Miranda; Jesus Olivera,arXiv,,http://arxiv.org/abs/2607.06523v1,https://arxiv.org/pdf/2607.06523,pdfs/029_2026_depthweave-kv-token-adaptive-cross-layer-residual-factorization-for-lo.pdf,9,ok,0,96
30,kv_cache_compression,2026,IndexMem: Learned KV-Cache Eviction with Latent Memory for Long-Context LLM Inference,Xintong Yang; Hao Gu; Binxing Xu; Lujun Li; Bei Liu; Jiacheng Liu; Qiyuan Zhu; Yike Guo,arXiv,,http://arxiv.org/abs/2605.25475v2,https://arxiv.org/pdf/2605.25475,pdfs/030_2026_indexmem-learned-kv-cache-eviction-with-latent-memory-for-long-context.pdf,18,ok,0,96
